n,const_f,sum_f,prod_f,direct_poly,horners_poly,sort.bubblesort.sort,sort.quicksort.sort,sort.timsort.sort,matrix_mult
474,3.666666673988554e-07,3.467500000020607e-05,3.757500000034497e-05,7.258749999738967e-05,6.571249999698381e-05,0.017599574999999312,0.0008575374999990615,0.0013004249999992723,0.0018498624999994107
475,3.4000000255218764e-07,3.408571428410921e-05,3.677499999987788e-05,7.422499999876209e-05,6.50428571447037e-05,0.017533612500000295,0.0008911000000004776,0.001234987499999285,0.0019172625000001275
476,4.3750000244813236e-07,3.417500000146845e-05,3.6387500000678585e-05,7.25875000000542e-05,6.456249999953201e-05,0.017196049999999907,0.000859437500000837,0.001236099999998963,0.0018217125000008494
477,3.49999999649242e-07,3.349999999979758e-05,3.619999999848744e-05,7.414999999966199e-05,6.85625000009793e-05,0.017897937500000793,0.0008675499999997172,0.001407512500000152,0.001937412499999347
478,3.5000000142559884e-07,3.438750000128721e-05,3.709999999923497e-05,7.276249999943474e-05,6.750000000010914e-05,0.018144624999998804,0.000978925000000963,0.0012856750000018735,0.002006975000000466
479,4.1428571608191434e-07,3.445000000024123e-05,4.101250000143608e-05,7.306250000116421e-05,6.580000000067088e-05,0.017223950000002652,0.0008611375000011634,0.0012448999999996602,0.001871475000000622
480,3.250000011334464e-07,3.5700000000003585e-05,3.76250000000411e-05,7.326249999994872e-05,6.567500000187465e-05,0.017586425000000183,0.0008646999999992744,0.0013389000000003648,0.001855675000001611
481,4.1249999949144467e-07,3.517500000072005e-05,3.704999999953884e-05,7.303749999998388e-05,6.68428571444224e-05,0.017674549999999734,0.0008721500000010707,0.0012692749999994035,0.0018913125000006303
482,3.714285727239387e-07,3.4937500000609134e-05,3.73285714283205e-05,7.566250000135e-05,6.803750000194952e-05,0.017146712499998884,0.0008646750000016468,0.001260337499998876,0.0018813499999987826
483,3.500000017216583e-07,3.491428571424292e-05,3.7324999998311625e-05,7.954999999970624e-05,6.632499999881247e-05,0.01734522500000235,0.0008830000000008553,0.0013026124999990785,0.0020313624999994673
484,3.400000011311022e-07,3.494999999986703e-05,3.7471428573862143e-05,7.339999999800284e-05,6.807499999972322e-05,0.017772912499999904,0.0008747124999999301,0.0013255249999994945,0.00227630000000012
485,3.714285727239387e-07,3.498750000119344e-05,3.75285714286276e-05,7.3812500001047e-05,6.673750000096845e-05,0.01766396250000124,0.0008751875000001519,0.0013490374999989285,0.0019591874999997927
486,3.500000005374204e-07,3.4987499998528904e-05,3.751250000050277e-05,0.00010658750000036576,6.676250000037243e-05,0.017762725000000756,0.0008992124999993578,0.0013105750000006466,0.002161800000001435
487,3.500000005374204e-07,3.5687499999603745e-05,3.757500000034497e-05,7.40124999998315e-05,6.757500000187378e-05,0.017952762500001995,0.0009023499999987195,0.001273575000000804,0.0023138000000004766
488,3.250000020216248e-07,3.527499999922412e-05,3.730000000157219e-05,7.617500000289823e-05,6.949999999950052e-05,0.018015287499998145,0.001004874999999572,0.0013982125000016055,0.0020395875000005503
489,3.375000012795226e-07,3.473749999916009e-05,3.732500000008798e-05,7.719999999977745e-05,6.68499999996186e-05,0.017874275000001383,0.0008903624999998527,0.0012857749999986012,0.0021122374999986704
490,3.714285737389998e-07,3.5575000000065415e-05,3.803749999953254e-05,7.477499999897219e-05,6.77625000005122e-05,0.018635687499999776,0.0008849375000012927,0.0012899875000007555,0.0020945125000002562
491,3.000000017294724e-07,3.512500000013574e-05,3.789999999970206e-05,7.671249999940954e-05,7.229999999847081e-05,0.01799928749999946,0.0009027374999996951,0.0012983250000004887,0.002047462500000208
492,3.500000017216583e-07,3.5425000001865214e-05,3.783749999985986e-05,7.473749999764578e-05,6.837499999967633e-05,0.01858586250000016,0.0008983500000008249,0.0013137250000001544,0.002417412500000715
493,3.3333333604446125e-07,3.532857142829471e-05,3.801428571392762e-05,7.737500000093434e-05,7.12499999986349e-05,0.018529362499998925,0.0008979749999991071,0.0012951999999994968,0.0021348249999997293
494,3.1249999832283493e-07,3.576250000136838e-05,3.793750000102847e-05,7.732857142883631e-05,7.197499999911372e-05,0.018130824999999184,0.0008985624999997555,0.0012994374999983904,0.0027348375000020297
495,3.3749999772680894e-07,3.6137500001309775e-05,3.828571428649801e-05,7.464999999839961e-05,6.773750000110823e-05,0.019677125000000295,0.0009090874999992948,0.0013046375000023147,0.0023308375000006265
496,3.875000018638275e-07,3.466250000005999e-05,3.778750000016373e-05,7.542857142896407e-05,6.706250000032554e-05,0.018638424999999792,0.0009001875000009818,0.0013463500000003847,0.0021214750000000393
497,3.25000000245268e-07,3.475000000019435e-05,3.7125000001303476e-05,7.96374999998406e-05,6.803749999839681e-05,0.018499975000000113,0.0010256750000001702,0.001510787499999111,0.002128800000000375
498,4.1999999780273354e-07,3.5187499999089766e-05,3.822857142767232e-05,7.515000000068994e-05,6.756249999995134e-05,0.019038087500001133,0.0008995250000012334,0.0013211624999982519,0.0023222999999994443
499,3.7500000082957285e-07,3.698571428450188e-05,3.8337500000373836e-05,7.566249999868546e-05,6.792499999974666e-05,0.0188216249999984,0.0009269249999990237,0.001324550000000535,0.0022983500000002266
500,3.5000000231377726e-07,3.538750000053881e-05,3.828749999890135e-05,8.039999999986946e-05,7.363749999989011e-05,0.018588800000001626,0.0009109625000007782,0.0013595500000009864,0.0021840624999986957
501,4.0000000023354687e-07,3.6250000000848104e-05,3.857500000048475e-05,7.607499999906508e-05,7.078749999944733e-05,0.018905512499999944,0.0009116625000009648,0.0013391499999997336,0.0021868124999997463
502,4.571428563947068e-07,3.6562500000947296e-05,4.0599999997503744e-05,7.738750000019223e-05,6.961250000170338e-05,0.019028574999999215,0.000917699999998689,0.001344637499999024,0.002324137499999601
503,3.250000011334464e-07,3.6250000000848104e-05,4.013749999831617e-05,7.732499999946185e-05,7.027500000145182e-05,0.018918099999999605,0.000921649999999552,0.0013643250000017204,0.0021848249999996128
504,3.800000001774606e-07,3.624285714209918e-05,3.8937500001168246e-05,7.807500000023282e-05,7.336249999934097e-05,0.019696962500000303,0.0009214250000004753,0.001371812499999514,0.0023809999999988563
505,3.74999999053216e-07,3.6500000000216914e-05,3.8757142857345374e-05,7.756250000046094e-05,7.33875000005213e-05,0.019387962500000633,0.0010404749999999297,0.0014107750000000863,0.0021974875000001504
506,3.2500000290980324e-07,3.648750000007084e-05,3.9762500001039314e-05,7.657500000046724e-05,6.952500000068085e-05,0.019477112500001503,0.0009368750000007253,0.0014468874999993275,0.0022275625000007793
507,3.4000000255218764e-07,3.615000000056767e-05,3.898571428554273e-05,7.847499999869001e-05,7.398750000042753e-05,0.019585762499999326,0.0009117624999985807,0.001342650000000667,0.002193362500000795
508,3.8000000159854606e-07,3.622500000144413e-05,3.91000000004027e-05,7.999999999785956e-05,7.452500000049156e-05,0.019525925000000832,0.0009348249999998615,0.0013730874999993148,0.0020989499999997108
509,3.600000027859096e-07,3.658750000035127e-05,4.031250000036124e-05,8.00500000011084e-05,7.747499999943841e-05,0.020522787499998252,0.0010371500000001532,0.0015647249999979351,0.0021063250000006306
510,3.4285714686380485e-07,3.656250000005912e-05,3.9399999999594524e-05,7.926249999812285e-05,7.410000000009274e-05,0.01964518749999833,0.0009419250000020085,0.001379337499998634,0.0021195875000001863
511,3.7499999994139444e-07,3.662857142927578e-05,3.91124999996606e-05,7.758749999897674e-05,6.98374999981155e-05,0.019981512499999354,0.0009650500000004669,0.0013571500000013614,0.002412887500000238
512,4.2000000206598996e-07,3.5750000000334126e-05,3.8375000000812065e-05,8.052500000044205e-05,7.367500000032834e-05,0.020290924999999405,0.0009398875000004026,0.0013079499999983923,0.0020661374999999538
513,3.4285714381862166e-07,3.585000000061456e-05,3.8937500001168246e-05,7.749999999884238e-05,7.016249999924895e-05,0.02004622499999975,0.0009416374999995369,0.001279712500001473,0.0022259750000017675
514,3.2499999846891114e-07,3.627500000291661e-05,3.875000000164164e-05,8.178749999920853e-05,7.393749999984323e-05,0.020134862499999073,0.000923950000001561,0.0013212375000009047,0.002198750000000693
515,6.142857143588896e-07,3.771250000017545e-05,3.873750000060738e-05,7.841428571404257e-05,6.983749999989186e-05,0.020288949999999417,0.0010439875000018972,0.001419049999999089,0.0024450500000003927
516,3.571428603014023e-07,3.606249999954514e-05,3.8737499999719205e-05,7.986249999980544e-05,7.505000000040951e-05,0.020388925000001556,0.0009388875000020391,0.001272762500001079,0.002154212500000696
517,3.3333333486022337e-07,3.596250000192924e-05,3.917142857241223e-05,8.131250000076307e-05,7.748750000047266e-05,0.020428924999998266,0.00098412499999867,0.0014148999999994416,0.0022780749999995464
518,3.857142881916583e-07,3.693750000000051e-05,3.9337500000513614e-05,8.30125000010895e-05,7.723750000110385e-05,0.020738274999999362,0.0009782125000006303,0.0013364749999986714,0.0025668249999997172
519,3.6250000068349664e-07,3.7450000000660566e-05,3.952500000004022e-05,0.00021806249999922755,7.279999999911167e-05,0.02053436250000118,0.0009577500000013117,0.0012911374999990954,0.002253425000000142
520,3.375000012795226e-07,3.606249999954514e-05,3.918749999787252e-05,7.823749999946727e-05,7.10250000013346e-05,0.02064259999999951,0.0009511249999984983,0.0012768750000011764,0.002325700000000097
521,4.0000000041118254e-07,3.7312500000830084e-05,3.8875000000437865e-05,7.918749999991093e-05,7.234999999816694e-05,0.020670862499999387,0.0009474000000002647,0.00128535000000074,0.0022889874999991733
522,3.714285727239387e-07,3.6212500000409875e-05,3.904999999893022e-05,7.936250000106781e-05,7.373750000105872e-05,0.021820637499999407,0.0009724125000021289,0.0013131624999997982,0.0026841625000004754
523,4.0000000023354687e-07,3.6537499999766965e-05,3.988749999983554e-05,7.95000000008983e-05,7.032500000114794e-05,0.021067237499998726,0.0009794874999986547,0.0013172875000000417,0.002720825000000815
524,3.750000034941081e-07,3.6999999999842714e-05,3.981249999984726e-05,8.38250000008145e-05,7.76500000005953e-05,0.020926137499999165,0.0010613374999994818,0.0012965499999983976,0.0023057500000005504
525,3.8333333307605244e-07,3.700000000073089e-05,3.978749999777875e-05,8.064999999923828e-05,7.43874999997729e-05,0.02127688749999912,0.0009604750000002937,0.0013087624999998937,0.002460199999998025
526,3.8333333544452824e-07,3.706249999968492e-05,3.953749999840994e-05,8.113750000049436e-05,7.568749999986579e-05,0.021141699999999375,0.0009655750000003849,0.001331200000000976,0.0023268500000002135
527,3.799999987563751e-07,3.7025000001911224e-05,3.982499999910516e-05,8.50874999986928e-05,7.768749999925717e-05,0.0210876500000019,0.000974675000000147,0.001304312500000293,0.002365912500000178
528,3.428571448336827e-07,3.699999999806636e-05,3.97714285713034e-05,8.26124999990796e-05,7.740000000122649e-05,0.021624349999999737,0.000987975000001029,0.001402437500000353,0.002391950000001586
529,3.500000029058962e-07,3.775000000061368e-05,4.0124999999058275e-05,8.091249999875316e-05,7.191428571421252e-05,0.02138991249999922,0.0009700375000010197,0.0013709749999977205,0.002407599999998844
530,3.624999989071398e-07,3.757500000123315e-05,4.05999999992801e-05,8.403749999974508e-05,7.928749999930318e-05,0.02160957499999938,0.0009831624999998567,0.0013466999999991458,0.002506475000000563
531,3.5000000231377726e-07,3.758749999871469e-05,4.0787500001471244e-05,0.0001798499999994263,7.54374999996088e-05,0.021573850000002004,0.000985124999999698,0.0013396250000008436,0.0025606874999999363
532,3.2000000373955115e-07,3.743750000140267e-05,3.9962500001600176e-05,8.095714285717901e-05,7.482500000044467e-05,0.022269950000000094,0.00098825000000069,0.001339024999999161,0.002751812500000561
533,3.2499999935708956e-07,3.7987500000724594e-05,4.023750000126114e-05,8.546250000218691e-05,7.875000000101551e-05,0.02140721250000155,0.0009702624999992082,0.00146678749999829,0.0025258624999997537
534,3.714285727239387e-07,3.771250000017545e-05,3.967500000001678e-05,8.104999999947182e-05,7.26714285700528e-05,0.021534900000001578,0.0009862250000010064,0.0014393875000004996,0.0025052375000020888
535,4.1428571608191434e-07,3.690000000045046e-05,3.9587499999882425e-05,8.117499999826805e-05,8.098750000140598e-05,0.021541462500000996,0.0009856749999999082,0.0013351499999991745,0.002685625000000691
536,3.5714285928634126e-07,3.8837500000887815e-05,4.181250000012682e-05,8.122500000062871e-05,7.458749999944558e-05,0.02171901250000019,0.0010004624999995215,0.0014611625000009454,0.0026129624999997603
537,3.500000005374204e-07,3.771250000017545e-05,4.053749999854972e-05,8.366250000069186e-05,7.462499999988381e-05,0.021670024999999704,0.0009865499999994753,0.0013854999999995954,0.0025280625000014822
538,3.3750000216770104e-07,3.784285714252584e-05,4.076250000029091e-05,0.00032679999999984943,7.318749999996044e-05,0.021917737499999923,0.0011106124999988864,0.0013793249999993762,0.0026012374999995203
539,3.5999999994373864e-07,3.774285714338735e-05,4.00875000003964e-05,8.108749999991005e-05,7.510000000010564e-05,0.022302637499997502,0.0009979124999990319,0.0013602749999996888,0.0025855250000015317
540,3.500000017216583e-07,3.773750000313214e-05,4.071428571096801e-05,8.176250000069274e-05,7.466250000121022e-05,0.022176812500001475,0.0009926999999958497,0.0013463749999971242,0.0025097375000004973
541,3.624999997953182e-07,3.845000000168852e-05,4.133750000256953e-05,8.765714285224086e-05,8.153750000339244e-05,0.022229662499999137,0.000992137500002599,0.0013473999999984443,0.0026621124999994805
542,3.6000000136482413e-07,3.833749999948566e-05,4.116250000052446e-05,8.267499999980998e-05,7.634999999694969e-05,0.02221167499999943,0.0009948499999996585,0.0013574374999976158,0.002624475000002846
543,4.000000011217253e-07,3.8499999997535873e-05,4.137500000211958e-05,8.57624999994755e-05,8.129999999972881e-05,0.02292116249999765,0.0009934749999995773,0.0013576875000023136,0.002784699999999418
544,3.714285737389998e-07,3.863749999766242e-05,4.0862500000571345e-05,8.256249999938348e-05,7.618750000126795e-05,0.02295497499999577,0.0010076124999969238,0.0014684749999975821,0.0029321250000027277
545,3.500000040901341e-07,3.8200000000543355e-05,4.066250000178684e-05,8.262500000100204e-05,7.476250000237883e-05,0.022792612500001752,0.0010071624999969941,0.0013784000000001129,0.002675150000001736
546,4.0000000183226804e-07,3.8337500001262015e-05,4.0774999996884276e-05,8.29000000014243e-05,7.578749999836987e-05,0.02278855000000135,0.0010313625000009097,0.00140858750000028,0.0027907249999969963
547,4.0000000467443897e-07,3.837142857321396e-05,4.2412499997368514e-05,8.281250000052864e-05,7.592500000619395e-05,0.023068425000001724,0.0010025749999993394,0.0013831374999977442,0.0026676125000015816
548,3.666666733200448e-07,3.866249999617821e-05,4.156249999986983e-05,0.00011204999999847587,7.442500000287566e-05,0.022630512499993927,0.000993924999999507,0.0013615749999988935,0.0028851000000020832
549,3.999999989900971e-07,3.913749999995275e-05,4.253750000060563e-05,8.460000000098944e-05,7.701250000025084e-05,0.023033487500001115,0.0009941749999988758,0.0013743249999986773,0.0027149000000008527
550,4.0000000467443897e-07,3.817500000202756e-05,4.081249999821068e-05,8.27428571434601e-05,7.72874999999118e-05,0.0235484750000019,0.0010049500000004485,0.001627149999997357,0.0028251375000039047
551,3.999999999374874e-07,3.8349999998743556e-05,4.2162500001552417e-05,8.426249999970992e-05,7.569999999823551e-05,0.023106624999998715,0.0010250875000021864,0.00138093749999868,0.002779937500003271
552,3.125000009873702e-07,3.784999999822958e-05,4.071250000059479e-05,8.381249999978024e-05,7.71000000003852e-05,0.023492225000003586,0.0010150375000002043,0.001419425000001695,0.002921237499998952
553,3.499999987610636e-07,3.8512500001530725e-05,4.1537499999577676e-05,9.05749999997596e-05,7.568750000253033e-05,0.02362655000000302,0.0010139875000003684,0.0015529874999984372,0.002765674999995582
554,3.750000026059297e-07,3.98875000016119e-05,4.206250000038381e-05,0.00010683750000239911,7.572857142942471e-05,0.023424574999992842,0.0010164874999976092,0.0013909500000028885,0.0032477499999981063
555,3.74999999053216e-07,3.894999999509707e-05,4.292500000246946e-05,9.038750000023299e-05,8.268749999906788e-05,0.023853912500001684,0.001012362499999142,0.001389062500001259,0.0032064124999990895
556,3.857142851464752e-07,3.975000000444595e-05,4.30124999990511e-05,8.769999999991285e-05,8.086249999905704e-05,0.023539987499999526,0.0010155874999995262,0.0013916500000004106,0.0028458375000006697
557,3.999999975690116e-07,3.9274999998895055e-05,4.196249999743884e-05,8.42499999968993e-05,7.583750000250689e-05,0.02363278750000042,0.0010113374999995983,0.0014009625000017678,0.003028575000001865
558,4.1428571811203643e-07,3.871250000031523e-05,4.135000000005107e-05,8.701249999987226e-05,8.2900000000663e-05,0.02414826249999713,0.0010324874999998457,0.0014282874999995698,0.0028534249999978556
559,4.3999999945754096e-07,3.8942857143199815e-05,4.131428571797967e-05,8.427500000074417e-05,7.9200000000057e-05,0.024050662499998765,0.0011625000000012875,0.0014203750000003623,0.0028538249999989773
560,3.6666666858309327e-07,3.91000000004027e-05,4.18000000017571e-05,8.903750000044397e-05,8.036249999854306e-05,0.024152449999998993,0.0010246624999989962,0.0015196000000017307,0.002908787500000898
561,3.6666666858309327e-07,3.8857142858513983e-05,4.141249999989327e-05,8.95142857148455e-05,8.246250000176758e-05,0.024008862499998784,0.0010271874999965291,0.0014064125000015082,0.002953924999999913
562,3.800000058618025e-07,3.8637499999438774e-05,4.245000000047128e-05,8.938750000098139e-05,8.212499999515899e-05,0.024140300000002668,0.0010352250000025265,0.0014255500000004417,0.0029101125000003947
563,3.571428582712802e-07,3.8512500001530725e-05,4.081250000353975e-05,8.527500000177213e-05,7.80999999996368e-05,0.024513400000001795,0.0010616624999979507,0.001433224999997762,0.003180162499999639
564,3.6666666858309327e-07,3.898749999819984e-05,4.1274999997398254e-05,8.834999999685067e-05,8.369999999935374e-05,0.024284275000001188,0.0010813125000002088,0.0014247250000014589,0.003120712499999456
565,4.0000000467443897e-07,3.9000000002786805e-05,4.171250000162274e-05,8.795000000283437e-05,8.521250000015357e-05,0.02423931249999889,0.0010489874999990434,0.0014554499999999138,0.003119312499999083
566,4.333333360288331e-07,3.892499999658128e-05,4.146249999870122e-05,8.528571428355138e-05,7.824999999606064e-05,0.02503162499999867,0.0010546124999990525,0.0014273500000001604,0.0030982124999976435
567,3.25000000245268e-07,3.8725000001349486e-05,4.11124999981638e-05,8.48625000013925e-05,7.63500000005024e-05,0.02474069999999884,0.0010411624999999702,0.0014328624999979667,0.0033586000000003224
568,3.833333342602903e-07,4.066250000001048e-05,4.291249999788249e-05,8.779999999752874e-05,8.140000000089742e-05,0.025794012499998686,0.0010480749999981498,0.0015281375000046893,0.0030554749999982533
569,3.5000000231377726e-07,3.943749999812951e-05,4.2249999999910415e-05,8.906250000251248e-05,8.540000000323289e-05,0.024584000000000827,0.0010916624999985913,0.0014604000000009165,0.0032926500000023395
570,3.800000001774606e-07,3.8962500003236755e-05,4.163749999719357e-05,8.854999999918789e-05,8.382500000259085e-05,0.025302187499999462,0.0010464125000027025,0.0014406749999995583,0.0029707374999965452
571,3.375000012795226e-07,3.947500000300863e-05,4.317142857449393e-05,8.712500000029877e-05,7.798749999921029e-05,0.02527492499999795,0.001049362500005202,0.0014485124999943366,0.00329825000000028
572,3.60000007049166e-07,3.9324999997703e-05,4.238749999885272e-05,8.638750000145023e-05,8.114285714100333e-05,0.025443512500000764,0.001069600000001003,0.0014387500000019315,0.003281412499999803
573,3.250000020216248e-07,3.927500000067141e-05,4.282500000130085e-05,8.9749999997224e-05,8.658749999845838e-05,0.025381062500002827,0.0010666500000002799,0.0014636625000008507,0.002984725000002797
574,3.800000001774606e-07,3.945000000094012e-05,4.187499999908084e-05,8.645000000129244e-05,8.129999999795245e-05,0.02515803750000245,0.0010658000000010048,0.0014809499999994813,0.002925512500002725
575,3.12500002763727e-07,3.925000000393197e-05,4.269999999654114e-05,8.719999999939887e-05,8.371250000038799e-05,0.02547098750000032,0.001143924999997381,0.0015939874999997272,0.0029971125000027854
576,3.800000058618025e-07,4.0937499999671445e-05,4.288750000291941e-05,8.78874999976631e-05,7.92124999993149e-05,0.02628996249999993,0.0011916375000016188,0.0015201875000006027,0.002947650000002966
577,3.750000026059297e-07,3.9787500002219645e-05,4.218750000006821e-05,9.05749999997596e-05,8.536250000013013e-05,0.025397612499999056,0.0010670250000011094,0.0014569749999999715,0.0034425999999996293
578,3.399999968678458e-07,3.913749999995275e-05,4.1799999998204385e-05,8.661428571648295e-05,8.215000000078021e-05,0.025977962499998952,0.0010718250000003593,0.001594562499997565,0.002967949999996833
579,3.8750000364018433e-07,3.91000000004027e-05,4.1787500000722844e-05,8.838749999817708e-05,8.139999999912106e-05,0.026300850000003706,0.0010580999999998397,0.001487762500000045,0.0030278750000007904
580,3.25000000245268e-07,4.009999999432523e-05,4.359999999792308e-05,9.363749999913296e-05,8.74125000045467e-05,0.026169474999996112,0.0011011250000017014,0.0014674750000036596,0.0030665124999966764
581,4.1666666798316027e-07,3.9650000001500985e-05,4.294999999743254e-05,9.213750000114374e-05,8.717142857100108e-05,0.026048812499995577,0.0011092124999994013,0.0014727499999995786,0.0030753500000013645
582,3.750000026059297e-07,4.01124999989122e-05,4.256249999734507e-05,9.071250000047826e-05,8.61249999957181e-05,0.026312875000002123,0.0011558125000004082,0.0016552375000014052,0.003087024999999244
583,3.833333389972419e-07,3.968571428458745e-05,4.2571428571542515e-05,8.859999999799584e-05,8.258749999967563e-05,0.025916699999999793,0.001072074999999728,0.0014795625000019186,0.0031372000000011724
584,3.999999952005358e-07,3.956250000136663e-05,4.218750000006821e-05,9.278750000163427e-05,8.739999999995973e-05,0.027516674999999324,0.0010864250000039988,0.001492637500003724,0.003134449999995681
585,4.5000000170603016e-07,3.9325000003032073e-05,4.2224999997841905e-05,9.266250000017351e-05,8.590000000197051e-05,0.026067125000002633,0.001075324999998628,0.00163308750000013,0.003192212499998348
586,3.499999987610636e-07,4.032499999873096e-05,4.340000000091493e-05,9.288750000280288e-05,8.68874999984115e-05,0.02656643749999965,0.0012327250000030432,0.0015241375000005775,0.0032231750000004666
587,3.4285714077343853e-07,4.0412500004194385e-05,4.256249999912143e-05,8.852857142674761e-05,8.091250000497041e-05,0.026318775000001793,0.0012099874999975668,0.0015684874999948306,0.003210737499999894
588,3.7500000615864337e-07,4.0285714283478615e-05,4.2687499998805833e-05,8.863749999932224e-05,8.045000000400648e-05,0.026623562499997533,0.0010783125000042304,0.0014941124999996447,0.005346750000002842
589,4.1250000393233677e-07,4.0675000001044737e-05,4.3737500000418095e-05,8.836250000499035e-05,7.982499999670267e-05,0.02805977500000445,0.0010920625000014894,0.0014936500000004571,0.003487074999998896
590,4.0000000467443897e-07,4.182857143015488e-05,4.4537499997332475e-05,9.171250000150621e-05,8.761249999977849e-05,0.026659187499996406,0.0010771250000018995,0.0015814499999997622,0.003247687500003593
591,3.8333332715486296e-07,4.057500000342884e-05,4.304999999860115e-05,9.230000000215455e-05,8.797500000135017e-05,0.027751350000002617,0.0010953499999999394,0.0015153125000022527,0.0033819999999966655
592,3.500000029058962e-07,3.9462500001974377e-05,4.215000000229452e-05,9.42625000011077e-05,8.615000000133932e-05,0.02681908749999984,0.0011066124999992155,0.001595062499998079,0.003405237499999103
593,4.600000011123484e-07,4.184999999878869e-05,4.49249999991963e-05,9.381249999762531e-05,8.757500000378116e-05,0.02686173750000087,0.0011205125000000038,0.0015601500000013147,0.003929712499999738
594,3.6666666858309327e-07,4.10999999989059e-05,4.31000000032457e-05,9.141250000332946e-05,8.547499999522756e-05,0.027139987500001794,0.0011162374999980074,0.0015198500000028758,0.0033677749999991846
595,3.1250000454008386e-07,4.0371428566134326e-05,4.331250000433329e-05,9.052500000095165e-05,8.220000000136451e-05,0.027990024999999363,0.0010962374999987645,0.0015495250000014948,0.0034906625000008518
596,4.000000011217253e-07,4.038571428769241e-05,4.291249999965885e-05,9.610000000037644e-05,8.968749999915815e-05,0.027612862499999835,0.0011146124999985574,0.0015806625000021057,0.0036329624999975607
597,3.250000020216248e-07,4.0775000002213346e-05,4.329999999974632e-05,9.020000000070638e-05,8.142500000118957e-05,0.027218900000002932,0.001120512499996451,0.0015575499999993525,0.0035664125000032243
598,3.3749999772680894e-07,4.0774999996884276e-05,4.344999999972288e-05,9.114999999937368e-05,8.340000000472969e-05,0.027889474999998498,0.0010986375000019422,0.001570437499999855,0.0035596875000010186
599,4.249999996375209e-07,4.190000000292571e-05,4.4762500001738204e-05,9.662500000295893e-05,9.131249999860813e-05,0.028419987500001298,0.0011533500000009411,0.0015356000000021908,0.003554812499999116
600,3.857142871765973e-07,4.343750000046498e-05,4.5624999998494786e-05,9.45999999988345e-05,8.918571428953978e-05,0.028327999999998354,0.001156437500002383,0.0015350124999962134,0.00385779999999869
601,4.0000000467443897e-07,4.2399999998110616e-05,4.347500000001503e-05,9.035714285638668e-05,8.302500000212376e-05,0.027292974999998165,0.0011170249999956638,0.001595500000000527,0.0037916500000001463
602,4.0000000183226804e-07,4.1124999997421696e-05,4.38625000001025e-05,9.157142857166686e-05,8.228571428503528e-05,0.02816268750000006,0.00113029999999803,0.0015534999999964327,0.003585050000001644
603,3.714285696787556e-07,4.093333333088367e-05,4.404999999962911e-05,9.71874999997624e-05,9.280000000089217e-05,0.029089449999998962,0.001128224999996874,0.0015631999999996538,0.0036602124999998153
604,3.6666666858309327e-07,4.0449999998415365e-05,4.317142857246381e-05,9.142500000436371e-05,8.444999999923652e-05,0.02799109999999949,0.0011486374999947202,0.0015708624999994925,0.0035694249999984606
605,3.800000001774606e-07,4.033750000331793e-05,4.271249999732163e-05,9.29124999959896e-05,8.68000000000535e-05,0.02871662500000305,0.0011136249999967873,0.0015496125000016292,0.004134375000001356
606,3.833333366287661e-07,4.328750000048842e-05,4.5737499998921294e-05,9.941428571380584e-05,9.220000000098594e-05,0.02868186249999738,0.0011457124999960655,0.0015847500000010228,0.003930812499998382
607,3.500000040901341e-07,4.113749999845595e-05,4.4214285710251844e-05,9.617499999947654e-05,9.117499999433676e-05,0.0286677874999981,0.0011174999999994384,0.0015590500000044472,0.0036930500000007527
608,3.874999983111138e-07,4.121249999933241e-05,4.3749999997899636e-05,9.188749999999857e-05,8.462857143090982e-05,0.028634350000000808,0.001201587500000656,0.0017666500000004248,0.003529137500001056
609,3.000000106112566e-07,4.140000000241173e-05,4.509999999946501e-05,0.0001002000000003278,8.7087499997196e-05,0.028661312499997038,0.001151787499999557,0.0015660499999992084,0.0036955000000027383
610,4.000000011217253e-07,4.48285714307011e-05,4.7442857140010475e-05,0.00010035000000208072,8.709999999823026e-05,0.02969050000000273,0.0011490999999974605,0.001599400000001694,0.0037994374999996694
611,4.0000000467443897e-07,4.3237499999904117e-05,4.6242857142228134e-05,9.688749999803292e-05,8.90749999964413e-05,0.02918025000000135,0.0012140874999992946,0.0016079749999988735,0.003785512499998589
612,3.7500000438228653e-07,4.513750000079142e-05,4.788749999917741e-05,9.977499999891393e-05,8.771249999384167e-05,0.029106899999998603,0.0011441249999961656,0.0015905499999995243,0.0036639999999987793
613,3.714285717088777e-07,4.166249999926208e-05,4.427499999692941e-05,9.580000000397604e-05,9.181249999734575e-05,0.029556199999998256,0.001129037499996599,0.001576212500006946,0.003912700000000768
614,3.1666667628845363e-07,4.1350000001827425e-05,4.528749999899162e-05,9.883749999772817e-05,9.194999999806441e-05,0.02896829999999717,0.0012004624999999436,0.0015834874999978155,0.0037884375000007964
615,3.8571428920671937e-07,4.3899999996099837e-05,4.7024999997091754e-05,0.00010146249999642976,9.556250000031241e-05,0.03027156249999763,0.0012635250000005982,0.0015922625000044377,0.003877112500001445
616,3.3750000305587946e-07,4.1228571429233595e-05,4.407500000169762e-05,9.82750000009247e-05,9.145000000110315e-05,0.02969552500000283,0.0012278500000011405,0.001619787500004577,0.003936149999999472
617,3.500000040901341e-07,4.129999999946676e-05,4.4262500001224225e-05,9.792499999861093e-05,9.2812499994821e-05,0.03251801250000064,0.0013391125000001836,0.0018956125000002544,0.0038189749999997247
