n,const_f,sum_f,prod_f,direct_poly,horners_poly,sort.bubblesort.sort,sort.quicksort.sort,sort.timsort.sort,matrix_mult
22,3.1250000001592504e-07,1.1350000000021065e-05,1.05874999999922e-05,4.442857142881808e-06,4.54999999999206e-06,3.3562500000000606e-05,3.208750000002758e-05,2.3987500000016704e-05,5.537499999985762e-06
23,2.999999999808711e-07,1.163749999998076e-05,1.1000000000038757e-05,4.587499999958444e-06,4.762499999977354e-06,3.6787500000023954e-05,3.288749999996732e-05,2.515000000000156e-05,5.866666666687337e-06
24,3.0000000006413785e-07,1.1812500000013548e-05,1.0928571428639852e-05,4.6500000000226915e-06,4.866666666732596e-06,4.007500000000053e-05,3.3624999999981586e-05,2.7250000000061947e-05,5.962500000039617e-06
25,3.571428572244985e-07,1.2050000000041194e-05,1.1250000000045945e-05,4.887499999967071e-06,5.050000000034194e-06,4.313750000004002e-05,3.73374999999565e-05,2.8137500000025017e-05,6.212500000046806e-06
26,3.2499999996771223e-07,1.1900000000009126e-05,1.1475000000038538e-05,5.2999999999858716e-06,5.275000000082297e-06,4.872499999999946e-05,4.0637499999995885e-05,3.093749999999451e-05,7.97142857138817e-06
27,3.800000000442338e-07,1.2512500000005922e-05,1.1900000000009126e-05,5.642857142821153e-06,5.971428571457541e-06,5.613749999999751e-05,4.528749999993531e-05,3.2912499999926403e-05,7.3875000000112045e-06
28,4.0000000001150227e-07,1.2912499999989668e-05,1.1675000000016533e-05,5.512499999998921e-06,5.68571428576676e-06,5.531250000001542e-05,4.098749999995044e-05,3.351249999994366e-05,7.1374999999485045e-06
29,4.0000000001150227e-07,1.2485714285676813e-05,1.1424999999981589e-05,5.475000000004782e-06,6.062499999903714e-06,5.8699999999939356e-05,4.18000000000085e-05,3.3599999999994745e-05,6.687500000018831e-06
30,3.40000000109697e-07,1.2125000000057229e-05,1.1537500000019518e-05,5.757142857141874e-06,5.814285714286374e-06,6.473749999996725e-05,4.287500000002553e-05,3.506249999996047e-05,6.9875000000552134e-06
31,4.200000000231796e-07,1.2462499999976728e-05,1.1912500000016424e-05,5.974999999991404e-06,6.442857142844158e-06,6.927500000000753e-05,4.751250000001317e-05,3.624999999998768e-05,7.462499999971728e-06
32,4.0000000001150227e-07,1.2162499999995857e-05,1.1725000000017971e-05,6.162500000073123e-06,6.357142857079826e-06,7.829999999997561e-05,5.122499999996033e-05,3.91875000000097e-05,6.837499999967633e-06
33,3.666666667327216e-07,1.2612500000036553e-05,1.1950000000010563e-05,6.314285714324543e-06,5.9750000000191594e-06,7.389999999996011e-05,5.0375000000019154e-05,3.996250000001811e-05,7.74285714287361e-06
34,3.800000000442338e-07,1.2350000000022066e-05,1.1625000000042851e-05,6.062500000042492e-06,6.157142857185097e-06,7.923749999996788e-05,4.9299999999974364e-05,4.0925000000052725e-05,7.837500000024145e-06
35,3.250000001342457e-07,1.245000000001569e-05,1.1499999999997623e-05,6.174999999997155e-06,6.3499999999883094e-06,8.256250000002185e-05,5.1900000000021373e-05,4.291428571434608e-05,8.687500000020831e-06
36,3.000000000086267e-07,1.2337499999987012e-05,1.162499999998734e-05,6.299999999959116e-06,6.612500000002797e-06,8.666250000000097e-05,5.2687500000009324e-05,4.408750000003958e-05,8.162499999991857e-06
37,3.1249999998816946e-07,1.2537500000020518e-05,1.21749999999754e-05,6.542857142870824e-06,6.650000000052447e-06,9.175000000000155e-05,5.4612499999967534e-05,4.5300000000025875e-05,9.312500000024926e-06
38,3.28571428541226e-07,1.2500000000026379e-05,1.1857142857150751e-05,6.642857142897489e-06,6.649999999996936e-06,9.754999999994629e-05,5.5874999999955266e-05,4.799999999999249e-05,1.0549999999998061e-05
39,3.500000000933312e-07,1.2828571428638977e-05,1.2399999999995748e-05,6.771428571448825e-06,6.774999999986653e-06,0.00010403749999998713,5.7650000000020185e-05,5.098571428569747e-05,1.110000000000991e-05
40,3.999999999374874e-07,1.2674999999962022e-05,1.1757142857187525e-05,7.050000000008438e-06,6.812500000008548e-06,0.00010485000000001743,5.7324999999913695e-05,4.9674999999999025e-05,9.642857142841013e-06
41,3.6000000007696543e-07,1.2724999999991216e-05,1.1999999999984245e-05,7.116666666677022e-06,7.012499999931032e-06,0.00011352500000003096,6.014999999998105e-05,5.3374999999966644e-05,9.987499999974947e-06
42,2.999999999808711e-07,1.2687500000024832e-05,1.1775000000019409e-05,7.162499999990857e-06,7.162499999990857e-06,0.0001167499999999988,6.217500000005316e-05,5.367499999997527e-05,1.003750000000414e-05
43,3.250000000232234e-07,1.2628571428553923e-05,1.1962499999990106e-05,7.512500000000921e-06,7.485714285739219e-06,0.00012389999999998236,6.40250000000786e-05,6.0024999999991335e-05,1.2474999999984027e-05
44,3.0000000017516015e-07,1.4037500000035896e-05,1.3499999999971868e-05,8.433333333372298e-06,8.474999999980026e-06,0.00014898750000000294,7.467500000002403e-05,6.78000000000345e-05,1.2928571428570481e-05
45,3.833333333721119e-07,1.573750000002927e-05,1.3475000000040538e-05,8.137500000005016e-06,8.312500000051681e-06,0.00015707499999997876,7.70125000000288e-05,7.081249999996153e-05,1.3462499999949973e-05
46,3.9999999996709333e-07,1.5012499999939033e-05,1.4128571428573267e-05,8.833333333272778e-06,8.799999999975494e-06,0.00016351250000001816,7.336249999997935e-05,6.31749999999709e-05,1.2550000000000061e-05
47,3.249999999954678e-07,1.3385714285726483e-05,1.2224999999949082e-05,7.80000000001811e-06,7.93750000002702e-06,0.0001455375000000425,6.884999999998143e-05,6.33750000000044e-05,1.4962500000020862e-05
